id,code,display
865,"Barbadian","Barbadian"
866,"Dominican","Dominican"
867,"Dominica Islander","Dominica Islander"
868,"Haitian","Haitian"
869,"Jamaican","Jamaican"
870,"Tobagoan","Tobagoan"
871,"Trinidadian","Trinidadian"
872,"West Indian","West Indian"
873,"Native Hawaiian or Other Pacific Islander","Native Hawaiian or Other Pacific Islander"
874,"Polynesian","Polynesian"
875,"Native Hawaiian","Native Hawaiian"
876,"Samoan","Samoan"
877,"Tahitian","Tahitian"
878,"Tongan","Tongan"
879,"Tokelauan","Tokelauan"
880,"Micronesian","Micronesian"
881,"Guamanian or Chamorro","Guamanian or Chamorro"
882,"Guamanian","Guamanian"
883,"Chamorro","Chamorro"
884,"Mariana Islander","Mariana Islander"
885,"Marshallese","Marshallese"
886,"Palauan","Palauan"
887,"Carolinian","Carolinian"
888,"Kosraean","Kosraean"
889,"Pohnpeian","Pohnpeian"
890,"Saipanese","Saipanese"
891,"Kiribati","Kiribati"
892,"Chuukese","Chuukese"
893,"Yapese","Yapese"
894,"Melanesian","Melanesian"
895,"Fijian","Fijian"
896,"Papua New Guinean","Papua New Guinean"
897,"Solomon Islander","Solomon Islander"
898,"New Hebrides","New Hebrides"
899,"Other Pacific Islander","Note that this term remains in the table for completeness, even though within HL7, the notion of Other code is deprecated."
900,"White","White"
901,"European","European"
902,"Armenian","Armenian"
903,"English","English"
904,"French","French"
905,"German","German"
906,"Irish","Irish"
907,"Italian","Italian"
908,"Polish","Polish"
909,"Scottish","Scottish"
910,"Middle Eastern or North African","Middle Eastern or North African"
911,"Assyrian","Assyrian"
912,"Egyptian","Egyptian"
913,"Iranian","Iranian"
914,"Iraqi","Iraqi"
915,"Lebanese","Lebanese"
916,"Palestinian","Palestinian"
917,"Syrian","Syrian"
918,"Afghanistani","Afghanistani"
919,"Israeili","Israeili"
920,"Arab","Arab"
921,"Other Race","Note that this term remains in the table for completeness, even though within HL7, the notion of Other code is deprecated."
922,"Male",""
923,"Female",""
924,"Pregnancy confirmed",""
