id,code,display
306,"Lower Elwha","Lower Elwha"
307,"Port Gamble Klallam","Port Gamble Klallam"
308,"Klamath","Klamath"
309,"Konkow","Konkow"
310,"Kootenai","Kootenai"
311,"Lassik","Lassik"
312,"Long Island","Long Island"
313,"Matinecock","Matinecock"
314,"Montauk","Montauk"
315,"Poospatuck","Poospatuck"
316,"Setauket","Setauket"
317,"Luiseno","Luiseno"
318,"La Jolla","La Jolla"
319,"Pala","Pala"
320,"Pauma","Pauma"
321,"Pechanga","Pechanga"
322,"Soboba","Soboba"
323,"Twenty-Nine Palms","Twenty-Nine Palms"
324,"Temecula","Temecula"
325,"Lumbee","Lumbee"
326,"Lummi","Lummi"
327,"Maidu","Maidu"
328,"Mountain Maidu","Mountain Maidu"
329,"Nishinam","Nishinam"
330,"Makah","Makah"
331,"Maliseet","Maliseet"
332,"Mandan","Mandan"
333,"Mattaponi","Mattaponi"
334,"Menominee","Menominee"
335,"Miami","Miami"
336,"Illinois Miami","Illinois Miami"
337,"Indiana Miami","Indiana Miami"
338,"Oklahoma Miami","Oklahoma Miami"
339,"Miccosukee","Miccosukee"
340,"Micmac","Micmac"
341,"Aroostook","Aroostook"
342,"Mission Indians","Mission Indians"
343,"Miwok","Miwok"
344,"Modoc","Modoc"
345,"Mohegan","Mohegan"
346,"Mono","Mono"
347,"Nanticoke","Nanticoke"
348,"Narragansett","Narragansett"
349,"Navajo","Navajo"
350,"Alamo Navajo","Alamo Navajo"
351,"Canoncito Navajo","Canoncito Navajo"
352,"Ramah Navajo","Ramah Navajo"
353,"Nez Perce","Nez Perce"
354,"Nomalaki","Nomalaki"
355,"Northwest Tribes","Northwest Tribes"
356,"Alsea","Alsea"
357,"Celilo","Celilo"
358,"Columbia","Columbia"
359,"Kalapuya","Kalapuya"
360,"Molala","Molala"
361,"Talakamish","Talakamish"
362,"Tenino","Tenino"
363,"Tillamook","Tillamook"
364,"Wenatchee","Wenatchee"
365,"Yahooskin","Yahooskin"
366,"Omaha","Omaha"
367,"Oregon Athabaskan","Oregon Athabaskan"
368,"Osage","Osage"
369,"Otoe-Missouria","Otoe-Missouria"
370,"Ottawa","Ottawa"
371,"Burt Lake Ottawa","Burt Lake Ottawa"
372,"Michigan Ottawa","Michigan Ottawa"
373,"Oklahoma Ottawa","Oklahoma Ottawa"
374,"Paiute","Paiute"
375,"Bishop","Bishop"
376,"Bridgeport","Bridgeport"
377,"Burns Paiute","Burns Paiute"
378,"Cedarville","Cedarville"
379,"Fort Bidwell","Fort Bidwell"
380,"Fort Independence","Fort Independence"
381,"Kaibab","Kaibab"
382,"Las Vegas","Las Vegas"
383,"Lone Pine","Lone Pine"
384,"Lovelock","Lovelock"
385,"Malheur Paiute","Malheur Paiute"
386,"Moapa","Moapa"
387,"Northern Paiute","Northern Paiute"
388,"Owens Valley","Owens Valley"
389,"Pyramid Lake","Pyramid Lake"
390,"San Juan Southern Paiute","San Juan Southern Paiute"
391,"Southern Paiute","Southern Paiute"
392,"Summit Lake","Summit Lake"
393,"Utu Utu Gwaitu Paiute","Utu Utu Gwaitu Paiute"
394,"Walker River","Walker River"
395,"Yerington Paiute","Yerington Paiute"
396,"Pamunkey","Pamunkey"
397,"Passamaquoddy","Passamaquoddy"
398,"Indian Township","Indian Township"
399,"Pleasant Point Passamaquoddy","Pleasant Point Passamaquoddy"
400,"Pawnee","Pawnee"
401,"Oklahoma Pawnee","Oklahoma Pawnee"
402,"Penobscot","Penobscot"
403,"Peoria","Peoria"
404,"Oklahoma Peoria","Oklahoma Peoria"
405,"Pequot","Pequot"
406,"Marshantucket Pequot","Marshantucket Pequot"
407,"Pima","Pima"
408,"Gila River Pima-Maricopa","Gila River Pima-Maricopa"
409,"Salt River Pima-Maricopa","Salt River Pima-Maricopa"
410,"Piscataway","Piscataway"
411,"Pit River","Pit River"
412,"Pomo","Pomo"
413,"Central Pomo","Central Pomo"
414,"Dry Creek","Dry Creek"
415,"Eastern Pomo","Eastern Pomo"
416,"Kashia","Kashia"
417,"Northern Pomo","Northern Pomo"
418,"Scotts Valley","Scotts Valley"
419,"Stonyford","Stonyford"
420,"Sulphur Bank","Sulphur Bank"
421,"Ponca","Ponca"
422,"Nebraska Ponca","Nebraska Ponca"
423,"Oklahoma Ponca","Oklahoma Ponca"
424,"Potawatomi","Potawatomi"
425,"Citizen Band Potawatomi","Citizen Band Potawatomi"
426,"Forest County","Forest County"
427,"Hannahville","Hannahville"
428,"Huron Potawatomi","Huron Potawatomi"
429,"Pokagon Potawatomi","Pokagon Potawatomi"
430,"Prairie Band","Prairie Band"
431,"Wisconsin Potawatomi","Wisconsin Potawatomi"
432,"Powhatan","Powhatan"
433,"Pueblo","Pueblo"
434,"Acoma","Acoma"
435,"Arizona Tewa","Arizona Tewa"
436,"Cochiti","Cochiti"
437,"Hopi","Hopi"
438,"Isleta","Isleta"
439,"Jemez","Jemez"
440,"Keres","Keres"
441,"Laguna","Laguna"
